age,Mspline,Sspline,Lspline
3,-0.136355500456585,0.268665389517933,0
3.25,-0.130340375217026,0.247291282377743,0
3.5,-0.124785630841989,0.227528530815474,0
3.75,-0.119643488689531,0.209176949961652,0
4,-0.114895726881821,0.1920976463246,0
4.25,-0.11052612629811,0.17617495036456499,0
4.5,-0.106513198561553,0.161313729071226,0
4.75,-0.102829501905452,0.147444278135016,0
5,-0.0994491080799076,0.134502704160393,0
5.25,-0.0963456933211493,0.12243006739232799,0
5.5,-0.0934728676851027,0.111182404281779,0
5.75,-0.0907816999023012,0.100721949319906,0
6,-0.0882327962083558,0.0910109188241641,0
6.25,-0.0857939911784715,0.0820122152538172,0
6.5,-0.0834344781877228,0.0736900405540966,0
6.75,-0.0811261008507529,0.0660100983791136,0
7,-0.0788460873561121,0.0589396302706371,0
7.25,-0.0765760694900468,0.0524474940525641,0
7.5,-0.0743006588294968,0.0465036800087599,0
7.75,-0.0720006306577989,0.0410739437063636,0
8,-0.0696560939005479,0.0361229839103046,0
8.25,-0.0672509482518358,0.0316186325833123,0
8.5,-0.064772293133565,0.027531571189356,0
8.75,-0.0622098693286013,0.0238350136952916,0
9,-0.0595559912799768,0.0205035605642241,0
9.25,-0.0568090524964475,0.0175042525289473,0
9.5,-0.0539708947988888,0.0148015764173417,0
9.75,-0.0510436090734192,0.0123638929987262,0
10,-0.048029429291951,0.0101630414351455,0
10.25,-0.0449306881130536,0.00817390428346032,0
10.5,-0.0417497812935856,0.0063740345233092,0
10.75,-0.0384893470279177,0.00474326268783587,0
11,-0.0351575020546626,0.00326159879483612,0
11.25,-0.0317674288711149,0.00190912914171992,0
11.5,-0.0283311511259825,6.67958481374686e-4,0
11.75,-0.0248593755857218,-4.77920622488526e-4,0
12,-0.0213616425738152,-0.00154284141735905,0
12.25,-0.0178464573244561,-0.00253964956411146,0
12.5,-0.0143214049499214,-0.00347986653589638,0
12.75,-0.0107932512976809,-0.0043738330351859,0
13,-0.00726850497821907,-0.00523079023714024,0
13.25,-0.00375643689909921,-0.00605871189387441,0
13.5,-2.66838200349895e-4,-0.00686462187825398,0
13.75,0.00319157142637394,-0.00765483796773658,0
14,0.00661103957092557,-0.00843504420309715,0
14.25,0.00998468112139328,-0.00921035445905316,0
14.5,0.0133063894252796,-0.00998536902638314,0
14.75,0.0165707572259208,-0.0107642250580167,0
15,0.0197730061895669,-0.0115506416153066,0
15.25,0.0229089239974893,-0.0123479599554144,0
15.5,0.0259748172695442,-0.0131591624192982,0
15.75,0.0289679099806595,-0.0139860623764601,0
16,0.0318864505867165,-0.0148290474934594,0
16.25,0.0347290114807723,-0.0156883449630625,0
16.5,0.0374944063359077,-0.016564131921478,0
16.75,0.0401816658610379,-0.017456540758549,0
17,0.0427900160060481,-0.0183656638757943,0
17.25,0.045318858349491,-0.0192915579527373,0
17.5,0.0477677524370286,-0.0202342477828745,0
17.75,0.0501363998544626,-0.021193729706666,0
18,0.0524246298663069,-0.022169974715633,0
18.25,0.0546323864417886,-0.0231629312293147,0
18.5,0.0567597165362024,-0.0241725276045022,0
18.75,0.0588069636113531,-0.0251984821176059,0
19,0.0607760636327743,-0.0262390751628667,0
19.25,0.0626695816992591,-0.0272920503857137,0
19.5,0.0644899756160768,-0.0283553026317365,0
19.75,0.0662395980703021,-0.0294268706773029,0
20,0.0679207022985544,-0.0305049271532429,0
20.25,0.0695354473850234,-0.0315877692503179,0
20.5,0.071085903220176,-0.0326738101429433,0
20.75,0.0725740551396861,-0.0337615710561476,0
21,0.0740018082775702,-0.0348496739441408,0
21.25,0.0753709916446752,-0.0359368347064437,0
21.5,0.0766833619570608,-0.0370218569070291,0
21.75,0.0779406072335718,-0.0381036259582472,0
22,0.0791443501749622,-0.0391811037221337,0
22.25,0.0802961513435125,-0.0402533235034119,0
22.5,0.0813975145923038,-0.0413193327258088,0
22.75,0.082449915481277,-0.04237763516169,0
23,0.0834547919611399,-0.0434264457735534,0
23.25,0.0844135280842746,-0.0444640932928311,0
23.5,0.0853274562356923,-0.0454890196238389,0
23.75,0.0861978595420858,-0.0464997727608538,0
24,0.0870259741455328,-0.0474950001838967,0
24.25,0.0878129913527204,-0.0484734427022169,0
24.5,0.0885600596642604,-0.0494339287036369,0
24.75,0.0892682866924428,-0.0503753687817756,0
25,0.0899387409791519,-0.0512967507239188,0
25.25,0.0905724537131984,-0.0521971348178303,0
25.5,0.0911704203585213,-0.053075649465262,0
25.75,0.0917336021967703,-0.0539314870772605,0
26,0.0922629277888163,-0.0547639002284253,0
26.25,0.0927592943633542,-0.0555721980604571,0
26.5,0.0932235691320731,-0.056355742905541,0
26.75,0.0936565905399505,-0.0571139471247757,0
27,0.0940591589441713,-0.0578462691573096,0
27.25,0.0944317481316954,-0.0585521836043694,0
27.5,0.0947744880791834,-0.0592311769013605,0
27.75,0.0950875008673329,-0.0598827762376988,0
28,0.0953709185959752,-0.0605065488454026,0
28.25,0.0956248825700428,-0.0611020996664007,0
28.5,0.0958495425412966,-0.061669069162493,0
28.75,0.0960450560040993,-0.0622071312619381,0
29,0.096211587532677,-0.0627159914154327,0
29.25,0.0963493081672944,-0.0631953847766036,0
29.5,0.096458394838292,-0.0636450744818056,0
29.75,0.0965390298306232,-0.0640648500350536,0
30,0.0965914002817314,-0.0644545257812996,0
30.25,0.0966156977160733,-0.0648139394746965,0
30.5,0.0966121176057673,-0.0651429509180417,0
30.75,0.0965808589657087,-0.0654414406921948,0
31,0.0965221239722922,-0.0657093089492411,0
31.25,0.0964361176076594,-0.0659464742749303,0
31.5,0.0963230473293795,-0.0661528726187657,0
31.75,0.0961831227603103,-0.0663284562798485,0
32,0.0960165554001637,-0.0664731929512699,0
32.25,0.0958235583573277,-0.0665870648203335,0
32.5,0.0956043401402979,-0.0666700745973563,0
32.75,0.0953589928126455,-0.0667223737969498,0
33,0.0950875073573751,-0.0667442439468526,0
33.25,0.0947898817049886,-0.0667359707059125,0
33.5,0.094466124265427,-0.0666978388731962,0
33.75,0.0941162533198057,-0.0666301322506893,0
34,0.0937402964407621,-0.0665331335072763,0
34.25,0.0933382899479493,-0.0664071240628343,0
34.5,0.0929102783896809,-0.066252383975433,0
34.75,0.0924563140528569,-0.0660691918391418,0
35,0.0919764565003618,-0.0658578246935677,0
35.25,0.0914707721301653,-0.0656185579352204,0
35.5,0.0909393337604953,-0.0653516652421584,0
35.75,0.0903822202347424,-0.0650574185017041,0
36,0.089799516048096,-0.0647360877458087,0
36.25,0.089191310994778,-0.0643879410950723,0
36.5,0.0885576998314885,-0.0640132447039221,0
36.75,0.0878987819595771,-0.0636122627124771,0
